name,price,bedroom_count,bathroom_count,price_per_m2,type,land_area,building_area,interior,floor_count,parking_spaces,construction_date,listing_date,latitude,longitude,map_link,developer,url_link
"Dijual rmh mewah posisi hoek di Metland menteng, cakung",3000000000,4,3,18.292.683,Rumah Dijual,190,164,,,2,,2022-07-08,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rmh-mewah-posisi-hoek-di-metland-menteng-cakung-oleh-mariani-ang-20272200
"Dijual rmh hoek dlm cluster Metland menteng, cakung jakut",2500000000,3,2,13.888.889,Rumah Dijual,100,180,,,2,,2022-07-08,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rmh-hoek-dlm-cluster-metland-menteng-cakung-jakut-oleh-mariani-ang-20277260
"Dijual rmh renov rapi dlm Cluster Metland menteng, cakung",1800000000,2,2,18.750.000,Rumah Dijual,110,96,,,1,,2022-07-08,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rmh-renov-rapi-dlm-cluster-metland-menteng-cakung-oleh-mariani-ang-20235444
Di jual rumah baru Di Taman Modern Cakung Jakarta Timur,1950000000,4,3,13.541.667,Rumah Dijual,250,144,,,2,,2022-07-07,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-di-jual-rumah-baru-di-taman-modern-cakung-jakarta-timur-oleh-heny-fitriyani-20310443
"Dijual Rumah baru di wisteria metland cakung, jakarta timur",2500000000,3,2,29.761.905,Rumah Dijual,140,84,,,,,2022-07-07,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-baru-di-wisteria-metland-cakung-jakarta-timur-oleh-heny-fitriyani-20310309
Rumah dijual Cepat di Metland Menteng Cakung Jakarta Timur,2600000000,3,2,15.476.190,Rumah Dijual,96,168,,,,,2022-07-07,-6.184506,106.968327,"https://maps.google.com/maps?ll=-6.184506,106.968327&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-rumah-dijual-cepat-di-metland-menteng-cakung-jakarta-timur-oleh-andrew-20309324
DIJUAL CEPAT RUMAH MINIMALIS SIAP HUNI METLAND MENTENG CAKUNG,1825000000,4,3,19.010.417,Rumah Dijual,160,96,Sebagian,,2,,2022-07-07,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-minimalis-siap-huni-metland-menteng-cakung-oleh-lili-ie-20008731
Rumah dijual di Jakarta Garden City Cluster Thames Cakung,2150000000,4,4,17.916.667,Rumah Dijual,90,120,Tak Berperabot,,2,,2022-07-07,-6.182629,106.947666,"https://maps.google.com/maps?ll=-6.182629,106.947666&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-jakarta-garden-city-cluster-thames-cakung-oleh-lili-ie-18719911
Dijual Rumah di Cluster Metland Menteng Cakung Jakarta Timur,1400000000,4,2,15.555.556,Rumah Dijual,58,90,Tak Berperabot,,1,,2022-07-07,-6.182629,106.947666,"https://maps.google.com/maps?ll=-6.182629,106.947666&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-cluster-metland-menteng-cakung-jakarta-timur-oleh-lili-ie-19320373
Rumah dijual Cepat di Metland Menteng Cakung Jakarta Timur,2600000000,3,2,15.476.190,Rumah Dijual,96,168,Tak Berperabot,,2,,2022-07-07,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-rumah-dijual-cepat-di-metland-menteng-cakung-jakarta-timur-oleh-lili-ie-20169948
