name,price,bedroom_count,bathroom_count,price_per_m2,type,land_area,building_area,interior,floor_count,parking_spaces,construction_date,listing_date,latitude,longitude,map_link,developer,url_link
Kelapa Gading,1500000000,3,2,25.000.000,Rumah Dijual,90,60,Tak Berperabot,,,,2022-07-08,-6.161309,106.904982,"https://maps.google.com/maps?ll=-6.161309,106.904982&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-rusli-lim-20136623
Kelapa Gading,6250000000,4,3,34.722.222,Rumah Dijual,270,180,Sebagian,,2,,2022-07-08,,,,,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-rusli-lim-18087026
Kelapa gading,6250000000,4,3,34.722.222,Rumah Dijual,300,180,Tak Berperabot,,1,,2022-07-06,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-yeheskiel-jordan-17861513
kelapa gading,8000000000,6,4,30.303.030,Rumah Dijual,201,264,Sebagian,,,,2022-07-06,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-darryus-lim-20300107
Kelapa Gading,8500000000,4,3,32.692.308,Rumah Dijual,500,260,Tak Berperabot,,2,,2022-07-06,,,,,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-lie-hoa-19382372
Kelapa Gading,7500000000,6,3,34.562.212,Rumah Dijual,400,217,Lengkap,,2,,2022-07-06,,,,,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-lie-hoa-19498903
kelapa gading,2000000000,4,4,19.047.619,Rumah Dijual,250,105,Tak Berperabot,,1,,2022-07-06,-6.158845,106.894546,"https://maps.google.com/maps?ll=-6.158845,106.894546&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-yanna-20298999
Kelapa Gading,12500000000,8,4,26.041.667,Rumah Dijual,404,480,,,2,,2022-07-06,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-maona-ong-18427533
Kelapa Gading,4500000000,4,3,14.657.980,Rumah Dijual,148,307,Tak Berperabot,,2,,2022-07-05,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-juhanna-fransisca-19548407
Kelapa gading,28000000000,4,3,62.222.222,Rumah Dijual,1200,450,,,2,,2022-07-05,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-cinde-winsuno-20296034
kelapa gading,4300000000,4,4,41.747.573,Rumah Dijual,300,103,,,,,2022-07-05,-6.161309,106.904982,"https://maps.google.com/maps?ll=-6.161309,106.904982&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-ria-20292259
kelapa gading,4300000000,4,4,41.747.573,Rumah Dijual,300,103,,,,,2022-07-05,-6.161309,106.904982,"https://maps.google.com/maps?ll=-6.161309,106.904982&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-tiur-20295351
